name,ind_I1,ind_I2,ind_I3,ind_I4,ind_I5,weighted_mean,iso_a3
Liberia,-1.493821679438391,0.8999999999999999,-0.9067826285986293,0.10911424903722733,-0.9850848449011392,-0.4753149807801865,LBR
Zimbabwe,-1.4823219719205492,0.4199999999999999,-0.40335984017873194,0.06546854942233638,-0.9873882509424525,-0.47752030272387946,ZWE
Sierra Leone,-1.4972971589549096,1.02,-0.7580563628476826,-0.18870346598202814,-0.9825186075365661,-0.48131511906423724,SLE
Djibouti,-1.464126558841791,0.988,,,-0.9896019496443896,-0.48857616949539356,DJI
Sudan,-1.4894874016359758,1.2120000000000002,-0.7078665923401597,,-0.9806452045852543,-0.4914997996403474,SDN
Timor-Leste,-1.4734383679763905,1.092,-0.4461809785521944,-0.8408215661103977,-0.9481314209039152,-0.5233144667085796,TLS
Guinea,-1.4843375756590114,1.252,-0.7300037371238024,-0.6662387676508343,-0.988692807644138,-0.5234545776155572,GIN
Kuwait,-0.9910229179020092,,-0.07758643386013797,,-0.5062986769480866,-0.5249693429034114,KWT
Brunei,-1.0399879327464512,,0.13961863075172554,,-0.7408425648715277,-0.547070622288751,BRN
Ethiopia,-1.4904170723961105,0.892,-0.6896888609817848,-0.5584082156611039,-0.9934602028430707,-0.5679948703764139,ETH
Haiti,-1.4814312648646504,,-0.47256293188141796,0.6328626444159178,-0.9904016062068626,-0.5778832896342533,HTI
Burkina Faso,-1.492880241575767,0.8279999999999998,-0.6866008512850446,,-0.9830180991427069,-0.5836247980008796,BFA
Uganda,-1.4912049678106394,0.40399999999999997,-0.6849509773261038,-0.19897304236200242,-0.9914071490140836,-0.5925072273025658,UGA
Nepal,-1.486564752173178,,-0.2749885469101867,0.32734274711168165,-0.9723327541578468,-0.6016358265323825,NPL
Oman,-1.1908049325400942,,0.07740492946261135,,-0.6963484945301538,-0.6032494992025456,OMN
Mali,-1.492839592423938,1.26,-0.9093176028169392,-0.9794608472400512,-0.9910959439469619,-0.622542797285578,MLI
Tanzania,-1.4883574913377453,0.4119999999999999,-0.6656890894602101,-0.43003851091142486,-0.9902386451026997,-0.6324647473624161,TZA
Trinidad and Tobago,-1.258476482394645,,0.06164803456557966,,-0.7208029854315023,-0.6392104777535226,TTO
