name,ind_E1,weighted_mean,iso_a3
Nigeria,-0.7784929857522865,-0.7784929857522865,NGA
Mozambique,-0.778990432695725,-0.778990432695725,MOZ
Syria,-0.7942738160955272,-0.7942738160955272,SYR
Guinea,-0.8044316937244779,-0.8044316937244779,GIN
Angola,-0.8161162927009727,-0.8161162927009727,AGO
Myanmar,-0.8300356732466502,-0.8300356732466502,MMR
Malawi,-0.8342972911942836,-0.8342972911942836,MWI
Burkina Faso,-0.8352425619551865,-0.8352425619551865,BFA
Bangladesh,-0.8416910101126577,-0.8416910101126577,BGD
Ethiopia,-0.8421710088750864,-0.8421710088750864,ETH
Sierra Leone,-0.8712174675166281,-0.8712174675166281,SLE
Papua New Guinea,-0.8831548566990972,-0.8831548566990972,PNG
Zimbabwe,-0.961409563466641,-0.961409563466641,ZWE
Haiti,-0.9646924562225639,-0.9646924562225639,HTI
Burundi,-0.9673201324124525,-0.9673201324124525,BDI
Niger,-0.9681431185390179,-0.9681431185390179,NER
Madagascar,-0.9780058481810946,-0.9780058481810946,MDG
Uganda,-0.9903427752310158,-0.9903427752310158,UGA
Yemen,-0.9977928524366475,-0.9977928524366475,YEM
Congo,-1.0000210724865028,-1.0000210724865028,COG
Mali,-1.0218758120784797,-1.0218758120784797,MLI
Liberia,-1.0546678814639394,-1.0546678814639394,LBR
Somalia,-1.0755518768051437,-1.0755518768051437,SOM
Sudan,-1.1321374009143328,-1.1321374009143328,SDN
Afghanistan,-1.13513807424725,-1.13513807424725,AFG
Guinea-Bissau,-1.1555910973859143,-1.1555910973859143,GNB
Dem. Rep. Congo,-1.1596129548732366,-1.1596129548732366,COD
Eritrea,-1.2619375809402689,-1.2619375809402689,ERI
Central African Rep.,-1.45597295857501,-1.45597295857501,CAF
Chad,-1.5,-1.5,TCD
