name,ind_G1,ind_G2,ind_G3,ind_G4,ind_G5,ind_G6,ind_G7,weighted_mean,iso_a3
Greece,1.5,0.28619619484549985,-0.11069529823502766,0.23076556082797017,0.45734608709160707,-0.15714285714285714,0.3355601233299075,0.3631471158167286,GRC
Latvia,0.33139178418148396,0.7778977196059911,0.19742090804933077,0.5117451631497216,0.25955615511107544,-0.010204081632653017,0.44964028776978426,0.35963541946210487,LVA
Chile,0.8556100551808706,0.3094049386047768,0.3263053544698509,0.4026366387335021,0.12600223231863894,0.07932850559578619,0.39722507708119226,0.3566446859978026,CHL
South Africa,1.2234825260576334,0.26757522601538253,-0.27862384455364353,0.08667558846703449,0.4850711136854946,0.25918367346938787,0.3499486125385406,0.3419018422399757,ZAF
Jamaica,1.1468424279583078,0.3663473215490487,-0.13942755369156512,0.04349106173493733,0.47712360060836656,-0.03352769679300238,0.43833504624871533,0.3284548868021155,JAM
Czechia,0.7636419374616799,0.6189448117662932,0.18298539902280564,0.5959855499702564,-0.23235033209406175,-0.08367346938775505,0.4516957862281603,0.3281756689953398,CZE
Slovenia,0.33997547516860815,0.4599919039265954,0.23195294735869987,0.535612249204632,0.04973757817512525,0.15306122448979598,0.3540596094552929,0.3034844268255356,SVN
Botswana,1.0432250153280198,0.31291323708001606,0.18220528281549964,0.29755427964627,0.2781304740548196,-0.3185941043083902,0.31294964028776984,0.30119768927200063,BWA
Cyprus,0.8825873697118334,0.31345297530697613,0.0695618827853286,0.3462900087508114,0.33485394987239725,-0.2667638483965012,0.34069886947584793,0.2886687439295276,CYP
United States of America,0.2946045370938075,0.4240993118337606,0.39016758529819695,0.7236030678021812,-0.2919557718087472,-0.031368102796674235,0.4445015416238438,0.27909316700662407,USA
Lesotho,1.1560392397302266,0.07111051140196989,-0.2962277008829328,-0.15223243704086697,0.8414848139204416,-0.0682239838084,0.31603288797533413,0.26685476161368177,LSO
Senegal,1.053648068669528,0.1472136014033194,-0.14193856323130472,-0.04629138190069948,0.0720429115875505,0.22232529375386456,0.40339157245632074,0.2443416432483684,SEN
Slovakia,0.48344573881054576,0.3865875050600458,-0.028127594013058532,0.3706653006680156,0.10899221951834126,-0.15170068027210937,0.46300102774922913,0.23326621678871567,SVK
Poland,0.8684855916615573,0.17123195250303613,0.10952212339636747,0.28024444763753964,0.1003431246456794,-0.03859804791481791,0.11356628982528261,0.22925649739352064,POL
Croatia,0.7507664009809932,0.11213061665092416,-0.05893785224445647,0.25080293465437986,0.15646004337153996,0.01898905257467265,0.30575539568345333,0.21942379881021526,HRV
Costa Rica,0.009503372164316404,0.6186749426528133,0.09033925117410035,0.2830560773353519,-0.1956854358229173,0.27336197636949555,0.43525179856115115,0.21635742606204447,CRI
Armenia,0.7967504598405888,0.1445149102685197,-0.1152797152808187,-0.0020379271299966195,0.2640554721930446,0.07982071333206209,0.3365878725590956,0.21491596939749935,ARM
Bulgaria,1.0928877988963828,0.12184590473620283,-0.20260265667807376,0.02686777658924333,0.18506291985221712,-0.1054421768707477,0.315005138746146,0.2048035293244815,BGR
Georgia,0.3706315144083384,0.14694373228983926,0.1628475506862086,0.15745433090210903,0.3266582347166658,-0.18901846452866933,0.3910585817060638,0.19522506859722225,GEO
Bhutan,0.24923359901900688,0.3142625826474159,0.5827239363631449,0.39398405343344556,-0.29419446971290875,-0.21606033717834938,0.1762589928057554,0.17231547962535868,BTN
Tanzania,1.0757204169221337,0.5172041559843477,-0.28864364054827285,-0.13140260970927042,-0.3280671016707841,0.10172522617294366,0.24820143884892087,0.17067684085714552,TZA
Hungary,1.0352544451256898,0.060315746862771524,-0.17685512322731634,0.27697712312630607,0.23441576129895658,-0.2702799712849959,0.011819116135662888,0.16737815686243923,HUN
Suriname,0.883200490496628,0.056807448387532045,-0.31873764219981915,0.017250251624802315,,-0.019807923169266883,0.37975334018499485,0.16641099422081185,SUR
Jordan,1.1744328632740653,0.17770881122655502,-0.09413990326592625,0.17969068212217487,-0.08181560940642318,-0.2990580847723706,0.04470709146968144,0.1573608358068224,JOR
Moldova,0.5331085223789085,0.2397787073269464,-0.2890345944362891,-0.05767284285523866,0.08820762571572804,0.16276015356637719,0.381808838643371,0.15127948719140047,MDA
Guyana,0.927958307786634,-0.09539873161516665,-0.26735717271195625,-0.07038840738004326,,0.0777080062794352,0.3191161356628983,0.1486063563369669,GUY
Vanuatu,0.8341508277130595,0.2637970584266629,-0.14203852979195442,0.22842446663306082,-0.19332614808870818,-0.4686028257456829,0.4023638232271326,0.13210981033908148,VUT
Serbia,0.7305334150827713,0.264336796653623,-0.3426945551958951,0.024003962281565983,0.1843696125490546,0.09681015263248172,-0.08170606372045225,0.1250933314690213,SRB
Dominican Rep.,0.8917841814837522,0.032249359060855465,-0.3349079216254749,0.033951618874919376,-0.17395490462585395,-0.0445757250268522,0.4506680369989722,0.12217352073433117,DOM
Albania,0.7470876762722257,0.09216030225340699,-0.3200047711714644,-0.0007243927272704287,0.04558923461962294,0.08309037900874616,0.1618705035971224,0.11558127597891277,ALB
Argentina,0.6538933169834458,0.3234381325057347,-0.33839385247825604,-0.14908072107947645,-0.34108428948259584,0.23056459938060903,0.4188078108941419,0.11402071381765758,ARG
Trinidad and Tobago,0.5453709380748009,0.2397787073269464,-0.3067657501215676,-0.0017116636278119435,-0.049309035813837276,-0.07240038872691912,0.4414182939362796,0.11376872872112728,TTO
Honduras,1.3546903740036789,0.1763594656591554,-0.5990682498946104,-0.4017960407399227,-0.15166343920229508,-0.05357142857142855,0.40030832476875644,0.10360842943190485,HND
Montenegro,0.41171060698957695,0.17312103629739584,-0.18398937384197134,0.018298233160457533,,-0.05656336608717544,0.25745118191161354,0.10333805307164952,MNE
Malaysia,1.1100551808706318,-0.17986776413439487,-0.011417471540581037,0.34209681897332533,-0.3556703862273931,-0.27837288761658446,0.09506680369989717,0.10312718486070012,MYS
Sierra Leone,0.9671980380134888,0.2745918229658615,-0.39316658736642274,-0.3130137851612367,,-0.2987140061504049,0.368448098663926,0.10089059682753533,SLE
Tunisia,0.42581238503985275,0.1369585750910809,-0.2464928572534305,0.03718491299719484,,-0.07114643092259915,0.3108941418293937,0.0988684544635821,TUN
Kuwait,0.6305947271612509,0.049790851437053085,-0.06878659541560528,0.2092976400102513,,-0.3979591836734694,0.1372045220966085,0.09335699360268152,KWT
Ghana,1.262722256284488,-0.2683848333558225,-0.1500481760528679,0.041421420879903526,-0.3484434373201052,-0.2625231910946204,0.37358684480986637,0.09261869773583455,GHA
Colombia,0.7078479460453709,0.1307515854810417,-0.29836926935600383,-0.12373141940762855,-0.11785646970104602,-0.028538688202553453,0.3509763617677286,0.08872572094670135,COL
North Macedonia,0.6060698957694668,-0.16394548643907714,-0.2803455420997236,0.03201777313671195,-0.0006970566480183349,0.18027210884353806,0.24100719424460437,0.08776841240107172,MKD
Benin,0.7066217044757818,0.32100931048441494,-0.18680295554532944,-0.20641907978570884,,-0.3790627362055933,0.24717368961973285,0.08375332217388298,BEN
Gambia,0.7826486817903127,0.15692888948859807,-0.25920962202294806,-0.1344397561094849,,-0.35925404644616477,0.27800616649537513,0.07744671886594802,GMB
Kenya,0.8556100551808706,0.1984887329645122,-0.4852393912327848,-0.07429975042088155,-0.23787592126032198,-0.11749271137026285,0.3848920863309353,0.07486901431315243,KEN
Burkina Faso,0.6379521765787859,0.2106328430711104,-0.16771416867445998,-0.20891102390283267,-0.0816866824537884,-0.22405863753952326,0.3386433710174718,0.07212255401382339,BFA
Ukraine,1.4000613120784795,-0.020375118067737175,-0.42600016353663306,-0.3554761849335799,-0.032116026379550466,-0.16806580788343667,0.05190133607399805,0.06427562105022004,UKR
Nepal,0.45462906192519925,0.0986371609769261,-0.3786009096746197,-0.13400315622292547,0.0046076658377700586,0.04025974025974044,0.35919835560123325,0.06353255981476057,NPL
Bolivia,0.8372164316370327,0.1040345432465255,-0.5460689440995009,-0.5355004596401597,,0.2535321821036115,0.25847893114080167,0.061948780731385135,BOL
Fiji,0.2529123237277744,0.09593846984212662,0.054045301998721706,0.22892700017884593,-0.08795705552836142,-0.1798719487795118,0.028263103802672163,0.0560367421774668,FJI
Togo,0.9089515634580012,0.3123734988530562,-0.4335640267332289,-0.1858993344098192,-0.21956118439980443,-0.19499887867234772,0.1793422404933197,0.05237769694131098,TGO
Peru,0.5196198651134276,0.05950613952233175,-0.5077243625605472,-0.18239283189924338,-0.07439894588843388,0.15306122448979598,0.3396711202466598,0.043906029860570094,PER
Romania,0.016247700797057174,0.16907299959519628,-0.12061626314567053,0.26778172240901643,-0.14026148319007825,-0.18831168831168815,0.26464542651593015,0.03836548780996616,ROU
Malawi,0.5656039239730228,0.26055862906490357,-0.4151577855572297,-0.02579555432474434,-0.3460782235324511,-0.12585034013605384,0.3119218910585818,0.032171791506575606,MWI
Niger,0.2964438994481913,0.19444069626231264,-0.4035686873313109,-0.15106021913731205,,-0.07708384558642772,0.3180883864337103,0.029543371681527254,NER
Zambia,0.5337216431637031,0.13560922952368104,-0.3769846067575231,-0.16720540101129555,-0.035891654337659396,-0.2541185148758302,0.368448098663926,0.029082684909857413,ZMB
Mongolia,0.2050889025137954,0.24598569693698558,-0.39182892937280556,-0.010921315338311643,-0.028512252428414597,-0.2207303974221273,0.30575539568345333,0.014976728653225033,MNG
Morocco,0.33936235438381357,-0.23761975441910677,-0.2963191268745021,-0.015576047750571531,0.270614866218273,-0.10733660552828733,0.11459403905447074,0.009674246440584225,MAR
Solomon Is.,0.19834457388105464,-0.016866819592497695,-0.21506018285254325,-0.03660150681999197,0.1874752701797775,-0.3693877551020408,0.3036998972250772,0.007371925274119372,SLB
Mexico,0.6698344573881057,-0.1663743084603968,-0.6036683825322814,-0.3309132291984007,-0.22710950282075237,0.3163265306122449,0.23072970195272358,-0.01588210472267959,MEX
Timor-Leste,-0.07081545064377676,0.21387127243286996,-0.25336609869925664,-0.3388060610555226,-0.1324210998376254,0.15306122448979598,0.3078108941418295,-0.017237902738812268,TLS
Liberia,1.1118945432250151,-0.079206584806369,-0.5635768535255118,-0.3538105176148869,-0.28403714701967975,-0.32107911657813876,0.3633093525179856,-0.01807233197165507,LBR
United Arab Emirates,-0.17995095033721642,0.2581298070435838,0.41415618666611986,0.4715338025275102,-0.9692511729142421,0.3163265306122449,-0.4403905447070915,-0.018492334444155895,ARE
Mozambique,0.2522992029429798,-0.13533936041020111,-0.521255269346542,-0.4038578435486917,0.30695967397678636,0.19224489795918376,0.16803699897225088,-0.020130242779176282,MOZ
Saudi Arabia,0.9371551195585531,-0.22385642963162877,0.03919398106810168,0.21429462792594256,-0.5267227959379264,-0.17563184214082933,-0.4126413155190134,-0.021172664953828642,SAU
